ID | R G B	// optional to write any description
0 255 255 255      none
1 18 70 14         teleport 1

1001 90 70 40      house 1 front 1
1002 91 70 40      house 1 front 2
1003 92 70 40      house 1 front 3
1004 93 70 40      house 1 back 1
1005 94 70 40      house 1 back 2
1006 95 70 40      house 1 back 3
1007 96 70 40      house 1 left 1
1008 97 70 40      house 1 left 2
1009 98 70 40      house 1 left 3
1010 99 70 40      house 1 right 1
1011 100 70 40     house 1 right 2
1012 101 70 40     house 1 right 3

1501 80 70 40      tower 1 down-left
1502 81 70 40      tower 1 down-right
1503 82 70 40      tower 1 up-left
1504 83 70 40      tower 1 up-right

1505 84 70 40      tower 2 stone

2001 60 50 30      fence 1 up
2002 61 50 30      fence 1 down
2003 62 50 30      fence 1 left
2004 63 50 30      fence 1 right
2005 64 50 30      fence 1 cornerUpLeft
2006 65 50 30      fence 1 CornerUpRight
2007 66 50 30      fence 1CornerDownLeft
2008 67 50 30      fence1CornerDownRight
2009 68 50 30      fence 1 LeftUpEnd
2010 69 50 30      fence 1 LeftDownEnd
2011 70 50 30      fence 1 RightUpEnd
2012 71 50 30      fence 1 RightDownEnd

2013 60 51 30      fence 2 up
2014 61 51 30      fence 2 down
2015 62 51 30      fence 2 left
2016 63 51 30      fence 2 right
2017 64 51 30      fence 2 cornerUpLeft
2018 65 51 30      fence 2 CornerUpRight
2019 66 51 30      fence 2CornerDownLeft
2020 67 51 30      fence2CornerDownRight
2021 68 51 30      fence 2 LeftUpEnd
2022 69 51 30      fence 2 LeftDownEnd
2023 70 51 30      fence 2 RightUpEnd
2024 71 51 30      fence 2 RightDownEnd
2025 72 51 30      fence 2 Door

2121 80 70 70      well 1

2141 90 80 50      raft 1 horizontal
2142 90 80 51      raft 1 vertical

3001 120 210 80    tree 1
